,location,price,bedrooms,bathrooms,garage,area,preference
269,Hacienda del Tepeyac,17000,3,3,2,125,1
270,Zapopan,58000,3,4,4,700,0
271,Los Pinos,22000,4,2,3,240,1
272,Zapopan,8300,3,2,2,89,1
273,La Calma,24000,5,2,1,194,1
274,Valle Real,23000,2,2,2,105,1
275,Valle Real,27000,3,3,2,163,1
276,Valle Real,23000,2,2,2,106,1
277,Jardines de los Pinos,14000,4,3,2,150,1
278,Puerta de Hierro,41755,2,2,2,194,1
279,Rinconada del Bosque,22000,3,4,2,130,1
280,Nuevo México,15200,2,2,2,82,1
281,Zapopan,13000,3,2,4,159,1
282,La Estancia,12500,2,2,2,90,1
283,Lomas de Guadalupe,35000,4,4,2,377,1
284,La Alameda,14500,3,2,2,131,1
285,Exitmex,12000,3,2,1,110,1
286,Jardín Real,15500,3,2,2,248,1
287,Jardines Universidad,19500,2,2,2,81,1
288,Exitmex,13000,3,2,2,145,1
289,Arcos de Guadalupe,21000,3,3,2,120,1
290,Atlas Chapalita,19000,2,2,2,99,1
291,Don Bosco Vallarta,16900,2,2,2,122,1
292,Plaza Guadalupe,9000,3,1,1,80,1
293,Rinconada de la Calma,13700,2,2,2,81,1
294,Loma Bonita,13500,3,2,2,160,1
295,La Mojonera,32500,4,4,4,350,1
296,Heroes Nacionales,6800,3,1,1,60,1
297,Residencial Plaza Guadalupe,12500,3,2,1,157,1
298,Chapalita Sur,13000,3,2,1,122,1
299,Puerta de Hierro,45000,3,4,4,704,1
300,Valle Real,39900,3,3,2,150,1
301,Moctezuma Poniente,6500,2,1,1,58,1
302,Prados Tepeyac,8500,2,1,1,61,1
303,Jardines del Sol,14500,3,2,2,140,1
305,Mirador de la Cañada,9000,3,2,2,90,1
306,Puerta de Hierro,29950,2,2,2,120,1
307,Santa Lucía,7750,3,2,2,106,1
308,El Campanario,16000,3,2,2,94,1
309,Parque Regency,55000,6,4,3,563,0
310,Solares Residencial,27500,4,3,3,250,1
311,Pinar de la Calma,29900,3,3,2,352,1
312,Paseos del Sol,18500,4,3,1,200,1
313,Rinconada de la Calma,12500,2,2,2,81,1
314,Universitaria,26000,4,4,4,308,1
315,Zapopan,58000,3,4,4,700,0
316,Jardín Real,55000,3,3,3,400,0
317,Tesistán,10200,2,2,2,70,1
318,Virreyes,25000,3,3,2,255,1
319,Nuevo México,11500,3,2,2,99,1
320,Zapopan,11600,3,2,2,115,1
321,Zapopan,11600,3,2,2,115,1
322,Nuevo México,16500,3,2,2,135,1
323,Vallarta Cuauhtémoc,20500,3,2,2,199,1
324,Loma Bonita,9500,2,1,1,44,1
325,Rinconada de la Calma,10700,2,2,2,90,1
326,Lomas Altas,80000,5,4,3,142,0
327,Victoria,14000,2,2,2,102,1
328,Girasoles Acueducto,8300,3,1,1,111,1
329,San Juan de Ocotán,18000,3,4,2,193,1
330,Zapopan,10000,3,3,2,83,1
331,Lomas del Batán,9500,3,2,2,125,1
332,Cd del Sol,21500,4,3,4,405,1
333,Parque Metropolitano,18000,2,2,2,85,1
334,Zapopan,11600,3,3,2,126,1
335,Valle Real,27000,2,2,1,125,1
336,Puerta de Hierro,28000,2,2,2,92,1
337,Valle Real,23500,2,2,2,111,1
339,Argenta Mirador Residencial,20000,3,3,2,240,1
340,Loma Bonita,17000,3,2,1,131,1
341,Tesistán,12500,3,3,2,70,1
342,Arcos de Zapopan,4500,2,1,1,50,1
343,Jardín Real,21500,4,3,3,208,1
344,Jardín Real,19000,3,3,2,174,1
345,Arcos de Zapopan,8500,3,2,1,123,1
346,Jardín Real,19000,3,3,2,154,1
347,Santa Ana Tepetitlán,11000,2,2,2,82,1
348,El Bajío,32000,3,4,2,300,1
349,Bugambilias,15500,3,4,2,240,1
350,Jardines Universidad,14200,2,2,2,97,1
351,Solares Residencial,18000,3,2,2,180,1
352,Parque Metropolitano,43000,4,4,2,180,1
353,Zapopan,45000,3,4,3,281,1
354,Valle Real,5799,3,2,2,195,1
355,Camino Real,8500,2,1,1,69,1
356,Guadalupe Inn,9000,3,2,1,80,1
357,Jardín de San Ignacio,14000,3,1,1,100,1
358,Cd del Sol,36000,3,4,4,480,1
359,El Fortín,12500,3,3,2,91,1
360,La Cima,18000,4,3,2,180,1
361,Hacienda del Tepeyac,18000,3,3,2,156,1
362,Hacienda del Tepeyac,17000,3,3,2,169,1
363,Jardín Real,20000,3,3,2,212,1
364,Villas De Otero De Guadalupe,7300,3,2,1,75,1
366,Jardines de los Pinos,27500,3,3,3,300,1
367,Zapopan,12800,3,2,2,90,1
368,Valle Real,16000,4,3,2,147,1
369,Granja,15000,4,3,2,103,1
370,Granja,15000,4,3,2,103,1
371,Granja,15000,4,3,2,103,1
372,Granja,15000,4,3,2,103,1
373,Santa Fe,30000,2,2,2,200,1
374,Tepeyac Casino,12000,2,2,2,104,1
375,Pontevedra,80000,3,4,4,500,0
376,Colinas de San Javier,4000,4,4,2,897,1
377,Paseos del Sol,6200,2,1,1,65,1
378,Santa Fe,30000,2,3,2,210,1
379,Jardines de los Pinos,22500,4,4,2,280,1
380,Altamira,14500,2,2,1,133,1
381,Lomas del Seminario,18000,4,4,3,215,1
382,Zapopan,85000,5,4,4,315,0
383,Rinconada del Parque,23500,3,2,3,220,1
384,Zapopan,14500,3,2,2,115,1
385,Altagracia,4500,2,1,1,85,1
387,La Cima,21000,3,4,2,164,1
388,La Cima,21000,3,4,2,164,1
389,Jardín Real,50000,4,4,2,281,1
390,Santa Ana Tepetitlán,11000,2,2,2,82,1
391,Santa Ana Tepetitlán,11000,2,2,2,82,1
392,Zapopan,34500,3,4,4,305,1
393,Puerta de Hierro,150000,5,4,4,850,0
394,Paseos del Sol,20000,4,2,2,196,1
395,Valle Real,60000,5,4,4,500,0
396,Valle Real,37000,3,4,2,300,1
397,Puerta de Hierro,29000,2,2,2,120,1
398,Santa Isabel,65000,3,4,4,780,0
400,Valle Real,40000,3,3,4,460,1
401,Zapopan,12000,3,2,2,108,1
402,Puerta del Llano,12500,4,3,2,102,1
403,Nuevo México,13000,3,2,2,120,1
404,Lomas Altas,22500,2,2,2,105,1
405,Lomas Altas,22500,2,2,2,105,1
406,Zapopan,12500,3,3,1,120,1
408,El Tigre,3500,1,1,1,200,1
409,Solares Residencial,18500,3,2,2,116,1
410,Zapopan,13400,2,2,2,84,1
411,Zapopan,9900,3,2,2,91,1
412,El Zapote,8500,2,2,1,123,1
413,Guadalupe Jardín,5100,1,1,1,50,1
414,Los Robles,9500,3,2,2,90,1
415,Puerta de Hierro,23000,2,2,2,92,1
416,Nuevo México,13000,3,2,2,104,1
417,Villas de Zapopan,12000,2,2,2,78,1
418,Jocotán Zapopan Jalisco,17500,2,2,2,80,1
419,Valle Real,12000,3,2,2,90,1
420,Valle de Bugambilias,37000,3,3,2,525,1
421,Loma Bonita Sur,20000,3,2,2,148,1
422,Los Pinos,6900,2,1,1,65,1
423,Zapopan,23500,3,4,2,147,1
424,Luna Bosque,12500,3,3,2,180,1
425,Bosques Vallarta,17000,4,3,2,160,1
426,Valle Real,16700,4,3,2,110,1
427,San Juan de Ocotán,24500,3,3,2,160,1
428,Conjunto Patria,10000,3,1,1,80,1
429,Coral,23500,3,2,3,180,1
430,Tesistán,8500,3,2,2,116,1
431,Valle Real,21600,2,2,3,150,1
432,Puerta del Bosque,14000,3,3,1,90,1
433,Villas del Centinela,10000,2,1,1,95,1
434,Jardines de Guadalupe,38000,3,3,3,300,1
435,Parque Metropolitano,19000,3,2,2,108,1
436,Agrícola,10500,3,3,2,115,1
437,Nuevo México,14500,3,2,2,119,1
